Omschrijving;Mnem
abortuskliniek;ABK
acupunctuur;ACU
advocaat;ADV
alg.maatschappelijk werk;AMW
allergologie;ALL
alternatieve geneeskunde;ALT
ambulancedienst;AMB
anaesthesie;ANE
apotheek;APO
ARBO-dienst;ARB
arts verstandelijk gehandicapten;AVG
audiologisch centrum;AUD
bedrijfsgeneeskunde;BDG
cardiochirurgie;CCH
cardiologie;CAR
cesartherapie;CES
chirurgie;CHI
CIZ;CIZ
consultatiebureau TBC;CTB
coronary care unit;CCU
cytologie;CYT
dermatologie;DER
diabetologie;DBM
diëtiek;DIE
echografie;ECH
eerste hulp;SEH
eerste-lijnspsychologie;ELP
elektrocardiografie;ECG
endocrinologie;END
ergotherapie;ERT
fertiliteitsonderzoek;FER
foniatrie;FON
functie-onderzoek;FUN
fysiotherapie;FYS
gemeent. gezondheidsd.;GGD
geriatrie;GER
geslachtsziekten;SOA
GGZ-instelling;GGZ
GHOR;GHO
gnathologie;GNA
gynaecologie;GYN
haptonomie;HAP
hematologie;HAE
homeopathie;HOM
huidtherapie;HUT
huisartsgeneeskunde;HAG
intensive care unit;ICU
interne geneeskunde;INT
jeugdgezondheidszorg;JGZ
kaakchirurgie;KCH
keel-, neus- en oorheelkunde;KNO
kindergeneeskunde;KIN
klinisch genetisch centrum;KGC
laboratorium;LAB
logopedie;LOG
longziekten;LNG
maag-, darm- en leverarts;MDL
manuele therapie;MTH
med. microbiologie;MIC
medisch diagnostisch centrum;MDC
medisch kleuterdagverblijf;MKD
meldpunten;MELD
mensendiecktherapie;MEN
militair geneesk. dienst;MGD
nefrologie;NEF
neonatologie;NEO
neurochirurgie;NCH
neurologie;NEU
nucleaire geneeskunde;NUC
obstetrie (als specialisme);OBS
onbekend;QQQ
oncologie;ONC
oogheelkunde;OOG
optiek (opticiën);OPT
optometrie;OPM
orthodontie;ORD
orthopaed. schoen- en hulpmidd.;ORH
orthopaedagogiek;ORP
orthopedie;ORT
overig;XXX
pastorale zorg;PST
pathologische anatomie;PAA
pedagogie;PEG
pedicure-behandeling;PDC
pijnbestrijding;PIJ
plastische chirurgie;PCH
podotherapie;POT
politie;POL
prenatale diagnostiek;PRE
psychiatrie;PSY
psychotherapie;PTH
radiotherapie;RAT
reumatologie;REU
revalidatiegeneeskunde;REV
röntgenologie;RON
SCEN-arts;SCEN
scopie-afdeling;SCO
sexuologie;SEX
sociale dienst;SOD
specialist ouderengeneeskunde;SOG
sportgeneeskunde;SPO
tandheelkunde;TAN
thoraxchirugie;TCH
thrombosedienst;THD
thuiszorg;THZ
traumatologie;TRA
tropische geneeskunde;TRO
urologie;URO
vaatchirurgie;VCH
verloskunde (eerste lijn);VLK
verpleeghuis;VPH
verslavingszorg;VER
verzekeringsgeneeskunde;VZG
waarneming;WRN
wijkverpleegkunde;WVK
