"nr";"memo";"materiaal";"bijzonderheden";"omschrijving";"korte_omschrijving";"aub";"hoofd_aanvraag";"soort";"groep";"selectie";"versie_opname";"versie_mutatie";"versie_vervallen";"toelichting";"vraag_type";"decimalen";"eenheid";"abs_min";"abs_max";"ref_min";"ref_max";"antwoordenlijst";"formule";"materiaal_info";"bijzonderheden_info";"aub_info";"groep_info";"formule_uitleg"
4102;"PACA";"US";"MI";"% acanthocyten tov tot.ery's in ursedim";"%acantus";"U";"SEDI";"L";"KC";"U";41;NA;NA;"Het percentage acanthocyten ten opzichte van het totaal aantal erytrocyten in het urinesediment.";"";NA;"";NA;NA;NA;NA;"";NA;"urinesediment";"meting: index, quotiënt, ratio";"Uitslag";"klinische chemie";NA
4083;"TIRB";"B";"";"%tijd binnen glucose streefwaarden (TIR)";"PTbinGlSw";"B";"";"L";"ZE";"2";40;NA;NA;"Het percentage ‘Time-in-range’ (TIR) is een berekening op basis van de gegevens van een continue glucosemeter. Het percentage tijd wordt berekend dat de glucosewaarde binnen het streefwaarde-interval ('range') ligt, over een periode van 24 uur.";"";NA;"";NA;NA;NA;NA;"";NA;"bloed";NA;"Beide";"patiënt zelf";NA
4085;"TIRH";"B";"";"%tijd boven hoge glucose streefwrd (TIR)";"PTbovGlSw";"B";"";"L";"ZE";"2";40;NA;NA;"Het percentage ‘Time-in-range’ (TIR) is een berekening op basis van de gegevens van een continue glucosemeter. Het percentage tijd wordt berekend dat de glucosewaarde boven de bovengrens-streefwaarde ligt, over een periode van 24 uur.";"";NA;"";NA;NA;NA;NA;"";NA;"bloed";NA;"Beide";"patiënt zelf";NA
4084;"TIRL";"B";"";"%tijd onder lage glucose streefwrd (TIR)";"PTondGlSw";"B";"";"L";"ZE";"2";40;NA;NA;"Het percentage ‘Time-in-range’ (TIR) is een berekening op basis van de gegevens van een continue glucosemeter. Het percentage tijd wordt berekend dat de glucosewaarde onder de ondergrens-streefwaarde ligt, over een periode van 24 uur.";"";NA;"";NA;NA;NA;NA;"";NA;"bloed";NA;"Beide";"patiënt zelf";NA
3348;"CAC4";"RQ";"";"'s nachts wakker door astma (C-ACT4)";"";"B";"";"P";"AA";"4";19;NA;NA;"Word je 's nachts wakker door je astma? 0 = Ja, de hele tijd 1 = Ja, meestal 2 = Ja, soms wel 3 = Nee, nooit Dit is vraag 4 uit de Childhood Asthma Control Test (C-ATC) voor kinderen van 4 tot 11 jaar.";"NM";0;"";0;3;NA;NA;"";NA;"luchtwegen, anamnese/plan";NA;"Beide";"anamnese";NA
2422;"5SH5";"PQ";"";"'s ochts drinken tegen kater (FiveShot5)";"";"B";"";"P";"AA";"4";11;NA;NA;"Vraag 5 uit Five-Shot-vragenlijst: Heeft u ooit 's ochtends alcohol gedronken om de kater te verdrijven?";"EK";NA;"";NA;NA;NA;NA;"106 - fiveshot vragen 3-5";NA;"psychische problemen, anamnese/plan";NA;"Beide";"anamnese";NA
2058;"HVPE";"KZ";"";"(aanvullende geg.) plan (CVRM)";"";"B";"";"P";"ZP";"4";9;21;NA;NA;"VT";NA;"";NA;NA;NA;NA;"";NA;"hartvaatstelsel, zorgproces";NA;"Beide";"zorgproces";NA
1773;"ASEE";"RZ";"";"(aanvullende gegevens) evaluatie (astma)";"";"B";"";"P";"ZP";"4";7;NA;NA;"U kunt hier informatie vastleggen over onderdelen die niet in het protocol zijn opgenomen evenals aanvullingen op de informatie die u via de standaardonderdelen hebt vastgelegd.";"VT";NA;"";NA;NA;NA;NA;"";NA;"luchtwegen, zorgproces";NA;"Beide";"zorgproces";NA
1780;"COEE";"RZ";"";"(aanvullende gegevens) evaluatie (COPD)";"";"B";"";"P";"ZP";"4";7;9;NA;"U kunt hier informatie vastleggen over onderdelen die niet in het protocol zijn opgenomen evenals aanvullingen op de informatie die u via de standaardonderdelen hebt vastgelegd.";"VT";NA;"";NA;NA;NA;NA;"";NA;"luchtwegen, zorgproces";NA;"Beide";"zorgproces";NA
1774;"ASPE";"RZ";"";"(aanvullende gegevens) plan (astma/COPD)";"";"B";"";"P";"ZP";"4";7;11;NA;"U kunt hier informatie vastleggen over onderdelen die niet in het protocol zijn opgenomen evenals aanvullingen op de informatie die u via de standaardonderdelen hebt vastgelegd.";"VT";NA;"";NA;NA;NA;NA;"";NA;"luchtwegen, zorgproces";NA;"Beide";"zorgproces";NA
